time,events,remark,type,notes
01:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
07:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
12:00,呪われたゾンビキング,,出現,
12:25,ゼニスクイーン,Mon,出現,:map: : 傲慢の塔 1F
12:25,ゼニスクイーン,Tue,出現,:map: : 傲慢の塔 1F
12:25,ゼニスクイーン,Wed,出現,:map: : 傲慢の塔 1F
12:25,ゼニスクイーン,Thu,出現,:map: : 傲慢の塔 1F
12:25,ゼニスクイーン,Fri,出現,:map: : 傲慢の塔 1F
12:25,クーガー,Mon,出現,:map: : 傲慢の塔 5F
12:25,クーガー,Tue,出現,:map: : 傲慢の塔 5F
12:25,クーガー,Wed,出現,:map: : 傲慢の塔 5F
12:25,クーガー,Thu,出現,:map: : 傲慢の塔 5F
12:25,クーガー,Fri,出現,:map: : 傲慢の塔 5F
13:00,シャーマンヌジョス,,出現,
13:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
14:00,バフォメット,,出現,:map: : 16.カオティック神殿
19:00,ダークイフリート,,出現,
19:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
19:25,シアー,Mon,出現,:map: : 傲慢の塔 2F
19:25,シアー,Tue,出現,:map: : 傲慢の塔 2F
19:25,シアー,Wed,出現,:map: : 傲慢の塔 2F
19:25,シアー,Thu,出現,:map: : 傲慢の塔 2F
19:25,シアー,Fri,出現,:map: : 傲慢の塔 2F
19:25,マミーロード,Mon,出現,:map: : 傲慢の塔 6F
19:25,マミーロード,Tue,出現,:map: : 傲慢の塔 6F
19:25,マミーロード,Wed,出現,:map: : 傲慢の塔 6F
19:25,マミーロード,Thu,出現,:map: : 傲慢の塔 6F
19:25,マミーロード,Fri,出現,:map: : 傲慢の塔 6F
20:00,ゴーレムの守護者,,出現,
20:00,バフォメット,,出現,:map: : 16.カオティック神殿:
20:25,ヴァンパイア,Mon,出現,:map: : 傲慢の塔 3F
20:25,ヴァンパイア,Tue,出現,:map: : 傲慢の塔 3F
20:25,ヴァンパイア,Wed,出現,:map: : 傲慢の塔 3F
20:25,ヴァンパイア,Thu,出現,:map: : 傲慢の塔 3F
20:25,ヴァンパイア,Fri,出現,:map: : 傲慢の塔 3F
20:25,アイリス,Mon,出現,:map: : 傲慢の塔 7F
20:25,アイリス,Tue,出現,:map: : 傲慢の塔 7F
20:25,アイリス,Wed,出現,:map: : 傲慢の塔 7F
20:25,アイリス,Thu,出現,:map: : 傲慢の塔 7F
20:25,アイリス,Fri,出現,:map: : 傲慢の塔 7F
20:25,リッチ,Mon,出現,:map: : 傲慢の塔 9F
20:25,リッチ,Tue,出現,:map: : 傲慢の塔 9F
20:25,リッチ,Wed,出現,:map: : 傲慢の塔 9F
20:25,リッチ,Thu,出現,:map: : 傲慢の塔 9F
20:25,リッチ,Fri,出現,:map: : 傲慢の塔 9F
21:00,真アイスデーモン,,出現,
21:30,テーベラス,Mon,開始,
21:30,テーベラス,Tue,開始,
21:30,陣営戦,Wed,開始,
21:30,崩れる島,Fri,開始,
21:30,崩れる島,Sat,開始,
21:45,攻城戦PT編成,Sun,開始,
22:00,ゴールデンナイト,Mon,出現,
22:00,ゴールデンナイト,Tue,出現,
22:00,ゴールデンナイト,Wed,出現,
22:00,ゴールデンナイト,Thu,出現,
22:00,ゴールデンナイト,Fri,出現,
22:00,ゴールデンナイト,Sat,出現,
22:00,攻城戦,Sun,開始,
22:00,レイド,Fri,開始,
22:25,デーモン,,出現,
22:25,ゾンビロード,Mon,出現,:map: : 傲慢の塔 4F
22:25,ゾンビロード,Tue,出現,:map: : 傲慢の塔 4F
22:25,ゾンビロード,Wed,出現,:map: : 傲慢の塔 4F
22:25,ゾンビロード,Thu,出現,:map: : 傲慢の塔 4F
22:25,ゾンビロード,Fri,出現,:map: : 傲慢の塔 4F
22:25,ナイトバルド,Mon,出現,:map: : 傲慢の塔 8F
22:25,ナイトバルド,Tue,出現,:map: : 傲慢の塔 8F
22:25,ナイトバルド,Wed,出現,:map: : 傲慢の塔 8F
22:25,ナイトバルド,Thu,出現,:map: : 傲慢の塔 8F
22:25,ナイトバルド,Fri,出現,:map: : 傲慢の塔 8F
22:25,ウグヌス,Mon,出現,:map: : 傲慢の塔 10F
22:25,ウグヌス,Tue,出現,:map: : 傲慢の塔 10F
22:25,ウグヌス,Wed,出現,:map: : 傲慢の塔 10F
22:25,ウグヌス,Thu,出現,:map: : 傲慢の塔 10F
22:25,ウグヌス,Fri,出現,:map: : 傲慢の塔 10F
22:30,ラスタバド HotTime,Sat,開始,
